source,target,weight
DRE,DRE,19
I,I,458
story,story,4
risk,risk,9
skin,skin,6
he,he,29
cervical_cancer,cervical_cancer,110
what,what,13
issues,issues,1
they,they,37
how,how,12
many,many,12
sexual,sexual,7
HPV,HPV,108
not,not,24
pap_smear,pap_smear,73
word,word,1
camcer,camcer,27
eat,eat,2
more,more,21
test,test,18
virus,virus,10
cancer,cancer,11
time,time,8
annual,annual,1
news,news,6
world,world,2
my,my,129
out,out,8
know,know,16
rates,rates,17
get,get,98
please,please,12
help,help,4
warts,warts,34
screening,screening,14
finally,fun,1
she,she,120
down,down,4
when,last,22
boy,boy,12
might,might,2
yearly,yearly,1
up,up,4
here,here,4
why,why,13
all,all,13
blog,blog,3
old,know,1
do_not,gynecologist,1
late,late,2
encourage,get,9
cervical_cancer,country,3
India,India,5
hospital,Bill,1
girl,girl,25
HPV,couple,3
funny,funny,2
I,we,28
vaccine,vaccine,25
help,please,2
HPV_shot,HPV_shot,3
no,no,38
there,many,9
week,week,32
some,some,5
down,HPV,17
new,new,12
another,camcer,7
women,he,9
come,come,1
most,most,6
common,common,2
month,month,1
than,good,3
cover,cover,1
screen,year,1
when,he,17
yo,need,4
your,your,18
possible,cervical_cancer,8
annual,again,2
we,I,14
treatment,treatment,8
serious,talk,1
women,women,41
Monday,January,1
you,behind,3
than,last,3
discuss,discuss,2
4,4,20
do,do,26
awareness,awareness,2
today,today,7
stage,stage,1
wart,wart,1
you,risk,46
there,there,2
we,we,29
watch,watch,2
heart,survivor,1
genital,genital,11
old,sure,3
killer,killer,2
vaccine,eradicate,1
american,society,7
cervical_cancer,post,6
limit,higher,1
factor,indian,1
abnormal,abnormal,1
after,when,5
awareness,women,12
over,some,3
USB,USB,1
do,after,7
how,screen,1
behind,you,3
tweet,national,1
age,you,14
after,only,2
you,book,4
care,sexual,3
go,more,6
get,encourage,3
usually,away,1
get,transmit,2
rise,people,4
I,I_know,9
preventable,share,1
always,cervical_cancer,4
increase,you,5
most,disease,13
get,play,3
probably,painful,1
DNA,help,1
just,we,8
why,after,4
HPV,issues,5
give,school,3
flash,flash,2
person,run,1
drive,drive,4
warts,anal,2
local,oncology,1
safe,prevent,3
women,when,15
get,make,15
women,than,62
these,between,1
share,share,2
spread,need,1
HSV,HSV,2
factor,Improved,1
you,new,24
mother,cervical_cancer,19
women,last,7
symptoms,Prevention,4
get,hate,8
HPV_test,today,8
disease,each,1
cervical_cancer,forget,6
cancer_test,HPV_test,1
thing,these,3
thanks,thanks,1
health,when,3
person,class,1
against,against,6
preventable,cervical_cancer,4
place,school,2
US,US,8
Prevention,women,13
here,go,6
go,over,1
off,check,1
learn,regular,3
your,girl,5
some,over,6
each,cervical_cancer,7
he,still,1
age,age,2
my,cervical_health,1
check_out,women,1
show,use,2
camcer,protect,5
still,more,5
jag,sure,1
man,Infection,19
week,live,2
get,remove,1
just,HPV_shot,25
please,help,40
get,higher,3
best,before,5
anyone,since,1
last,last,1
get,mean,6
than,awareness,3
people,virus,1
good,pap,4
school,school,5
major,study,3
available,teens,1
more,pap,10
regular,learn,2
quite,letter,1
teens,most,1
all,damn,1
girl,talk,3
I,HPV_shot,68
like,help,3
I,Gardasil_shot,29
man,woman,6
cancer,report,20
4,not,5
vaccine,HPV,191
smear,not,23
