source,target,weight
Jennifer,session,1
like,message,1
there,sex,1
there,against,6
couple,all,1
about,cervical_cancer,4
health,often,1
Prevention,news,1
great,such,1
breast,awareness,5
new,team,4
Monday,cervical_cancer,1
hope,cervical_cancer,9
many,protect,1
cervical,cell,3
who,I,3
HPV_vaccine,claim,1
girl,girl,5
think,they,1
man,need,5
they,camcer,2
active,more,1
just,I_know,3
many,many,2
only,some,3
I,I_know,2
race,race,1
annual,pap,3
method,GYN,1
see,more,6
need,Gardasil,3
you,eat,5
genital,warts,36
why,there,2
top,vax,2
news,find,1
active,strain,1
mine,aid,1
get,feel,3
during,pap,1
cause,Infection,1
join,screening,1
follow,cervical_cancer,3
test,researcher,1
I,now,6
I,positive,3
Gardasil,always,1
symptoms,blog,1
cervical_cancer,happy,1
he,some,2
screening,still,2
just,year,2
diagnosis,treatment,3
who,active,3
symptoms,when,1
oral,anal,3
some,I,5
three,know,8
video,free,1
abnormal_pap_smear,high,2
sister,cervical_cancer,22
forward,week,1
teenage,cervical_cancer,24
put,cervical,1
believe,smear,2
just,just,3
more,camcer,6
boy,back,1
more,out,1
slow,down,2
before,boy,1
Lady,rare,1
you,support,1
more,health,3
breast,month,1
just,prevent,2
pap,know,1
project,doctor,1
fuck,now,1
see,what,7
clinical,death,1
great,day,1
because,right,1
back,here,1
know,what,20
HPV,forward,1
do,they,6
deaths,deaths,2
preventable,learn,3
do,screening,3
I_know,daughter,2
Prevention,we,1
you,HPV_vaccine,24
you,my,17
doctor,girl,2
Friday,live,1
nearly,likely,1
we,take,2
what,we,3
no,presentation,1
join,world,1
Lady,when,2
I_know,often,1
no,HPV_vaccine,18
remember,like,2
access,smear,1
you,enough,6
guy,when,1
camcer,oral,1
top,flu,1
I,go,15
just,likely,1
you,want,21
early,sexual,2
awareness,why,1
ask,panel,1
small,risk,1
cervical_cancer,always,1
again,safe,1
do,after,1
another,camcer,1
Lady,under,1
blood,tonight,3
side_effect,what,1
get,kill,2
job,fight,1
immune,risk,2
after,cancer_vaccine,1
book,smear,1
sit,HPV,1
January,make,4
statistics,share,1
there,protect,2
cervical_cancer,sexual,7
US,do,1
my,eat,2
she,just,2
due,due,3
promote,cervical_cancer,3
administration,report,1
why,than,2
annual,medical,1
month,we,3
your,cervical_cancer,2
HPV,comment,2
each,people,16
how,take,2
HPV_shot,since,1
shit,fuck,1
mother,your,2
early,miss,1
yes,cervical_cancer,5
not,GYN,1
bad,today,1
some,warts,1
Prevention,find,1
women,only,6
up,I,4
MMR,HPV_vaccine,2
