Video,video,noun
cnnteaparty,CNN,noun
National,national,noun
pl,please,noun
detect,detect,noun
vaccinate,vaccinate,noun
control,control,noun
info,information,noun
push,push,noun
Ladies,lady,noun
Paul,Paul,noun
poor,poor,noun
problem,problem,noun
researcher,researcher,noun
California,California,noun
AIDS,AIDS,noun
deal,deal,noun
huff,huff,noun
pay,pay,noun
wait,wait,noun
Herpes,herpes,noun
bill,bill,noun
important,important,noun
retarded,retarded,noun
tomorrow,tomorrow,noun
stage,stage,noun
proof,proof,noun
cut,cut,noun
point,point,noun
trend,trend,noun
std,STD,noun
reason,reason,noun
parental,parental,noun
sexual,sexual,noun
stop,stop,noun
stupid,stupid,noun
raise,raise,noun
UK,UK,noun
protect,protect,noun
Daily,daily,noun
executive,executive,noun
Early,early,noun
2012,2012,noun
Girls,girl,noun
include,include,noun
Romney,Romney,noun
Cervarix,Cervarix,noun
share,share,noun
diagnose,diagnose,noun
cell,cell,noun
hope,hope,noun
consent,consent,noun
Issues,Issues,noun
Science,science,noun
start,start,noun
cervix,cervix,noun
strain,strain,noun
protection,protection,noun
hurt,hurt,noun
opt,option,noun
guideline,guideline,noun
provide,provide,noun
dumb,dumb,noun
early,early,noun
show,show,noun
USA,USA,noun
spark,spark,noun
lot,lot,noun
form,form,noun
fewer,fewer,noun
gay,gay,noun
Today,today,noun
sick,sick,noun
Law,law,noun
Leno,leno,noun
read,read,noun
Teen,teen,noun
Yahoo,Yahoo,noun
vaxfax,vaxfax,noun
victim,victim,noun
night,night,noun
CNNTeaParty,CNN,noun
needle,needle,noun
cost,cost,noun
American,American,noun
Recommends,recommend,noun
teaparty,CNN,noun
partner,partner,noun
adviser,adviser,noun
law,law,noun
Free,free,noun
defend,defend,noun
hurt,hurt,noun
doc,document,noun
blood,blood,noun
information,information,noun
job,job,noun
MT,MT,noun
Report,report,noun
Papillomavirus,papillomavirus,noun
active,active,noun
ABC,ABC,noun
Roche,Roche,noun
group,group,noun
Vaccines,vaccine,noun
Friends,friend,noun
lie,lie,noun
transmit,transmit,noun
Effective,effective,noun
part,part,noun
Watch,watch,noun
Times,Times,noun
Link,link,noun
catch,catch,noun
Research,research,noun
CervicalCancer,cervical_cancer,noun
Santorum,Santorum,noun
family,family,noun
add,add,noun
msnbc,MSNBC,noun
Papilloma,papilloma,noun
candidate,candidate,noun
hear,hear,noun
forget,forget,noun
patient,patient,noun
federal,federal,noun
youtube,YouTube,noun
miss,miss,noun
speak,speak,noun
beat,beat,noun
Ignores,ignore,noun
Gov,government,noun
vote,vote,noun
preventable,preventable,noun
truth,truth,noun
Political,political,noun
fear,fear,noun
Story,story,noun
regular,regular,noun
idea,idea,noun
RickPerry,Rick_Perry,noun
start,start,noun
move,move,noun
walk,walk,noun
Cancers,cancer,noun
detection,detection,noun
vax,vax,noun
morning,morning,noun
deep,deep,noun
insurance,insurance,noun
snippet,snippet,noun
Girl,girl,noun
number,number,noun
herpes,herpes,noun
Testing,test,noun
politics,politics,noun
Palin,Palin,noun
yr,year,noun
presidential,presidential,noun
save,save,noun
skin,skin,noun
papilloma,papilloma,noun
ask,ask,noun
Jade,Jade,noun
safety,safety,noun
Abnormal,abnormal,noun
review,review,noun
create,create,noun
