source,target,weight
free,boy,47
not,link,47
women,go,47
give,pap_smear,46
new,HPV,46
get,pap,46
news,cervical_cancer,46
wart,my,46
die,than,46
fight,against,46
now,wart,46
do,HPV,46
wart,what,46
more,HPV,46
teens,sex,46
you,like,46
pussy,cervical_cancer,45
cervical_cancer,smear,45
I,she,45
cervical_cancer,time,45
most,HPV,45
get,Gardasil_shot,45
DRE,my,45
please,cervical_cancer,45
you,just,45
I,video,45
sex,HPV,45
they,you,45
cervical_cancer,what,45
time,I,45
who,pap_smear,45
she,get,45
new,screening,45
know,you,45
I,eat,45
white,man,45
my,HPV_vaccine,45
neck,man,44
you,want,44
know,HPV,44
treatment,4,44
I,than,44
cervical_cancer,up,44
you,Gardasil,44
people,HPV,44
I,know,44
pussy,than,44
neck,white,44
cervical_cancer,trust,44
how,get,44
free,pap,44
still,risk,44
Lady,get,44
I,they,44
she,I,43
you,my,43
girl,all,43
you,out,43
get,out,43
I,love,43
women,more,43
cervical_cancer,pap,43
4,auction,43
cervical_cancer,early,43
my,shot,43
teens,who,43
HPV_vaccine,cervical,43
HPV_vaccine,those,43
not,just,43
talk,cervical_cancer,43
HPV,cancer,43
how,HPV,43
study,cervical_cancer,42
better,than,42
eat,more,42
see,some,42
not,HPV_vaccine,42
HPV,virus,42
cervical_cancer,study,42
Lady,pap_smear,42
cervical_cancer,now,42
4,stage,42
you,more,42
pap_smear,get,42
my,like,42
Gardasil,how,42
today,I,41
free,HPV,41
after,HPV_vaccine,41
hey,see,41
hey,some,41
I,give,41
do,know,41
teens,risk,41
HPV,most,41
doctor,HPV,41
you,pap,41
link,between,41
she,away,40
head,white,40
I,today,40
cancer,white,40
oral,HPV,40
HPV,risk,40
up,my,40
eat,cervical_cancer,40
sex,still,40
HPV_shot,I,40
tonight,cervical_cancer,40
age,cervical_cancer,40
cervical_cancer,most,40
not,pap_smear,40
how,I,39
cervical_cancer,campaign,39
new,test,39
die,brain,39
I,up,39
cervical_cancer,program,39
women,smear,39
now,boy,39
HPV_vaccine,against,39
free,smear,39
HPV,no,39
we,HPV,39
pap_smear,after,39
teens,still,39
how,pap_smear,39
vaccine,girl,39
more,brain,39
women,brain,39
sex,study,39
eat,pussy,39
do,cervical_cancer,39
I,how,39
who,who,38
away,after,38
HPV_vaccine,among,38
you,when,38
cervical_cancer,patient,38
cervical_cancer,do,38
pussy,pap_smear,38
not,increase,38
HPV,new,38
tell,you,38
vaccinate,against,38
my,doctor,38
when,get,38
cervical_cancer,how,38
they,HPV,38
HPV,today,38
no,HPV_vaccine,38
HPV_vaccine,get,38
more,report,38
how,do,37
cervical,screening,37
boy,HPV_vaccine,37
cervical_cancer,Information,37
old,stage,37
HPV,herpes,37
I,last,37
get,smear,37
know,what,37
no,pap_smear,37
all,my,37
cervical_cancer,week,37
eat,than,37
HPV,only,37
boy,HPV,37
get,against,37
they,get,37
not,after,37
HPV_vaccine,side_effect,37
before,you,37
pap_smear,not,37
new,HPV_vaccine,37
no,HPV,37
follow,cervical_cancer,36
how,cervical_cancer,36
make,sure,36
hurt,like,36
HPV_vaccine,still,36
no,I,36
treatment,stage,36
cervical_cancer,they,36
HPV_vaccine,rates,36
cervical_cancer,read,36
school,HPV_vaccine,36
cervical_cancer,after,36
does,increase,36
please,get,36
we,get,36
HPV_infection,study,36
what,need,36
virus,cervical_cancer,35
all,get,35
women,health,35
HPV_vaccine,I,35
she,after,35
you,sex,35
my,friend,35
mom,cervical_cancer,35
Lady,cervical_cancer,35
pap_smear,back,35
get,not,35
old,4,35
camcer,women,35
up,cervical_cancer,35
HPV_vaccine,now,35
receive,HPV_vaccine,35
I,pussy,35
help,prevent,35
sexually_transmit,Infection,35
HPV_vaccine,lead,35
when,my,35
do,get,35
HPV,they,35
get,last,35
women,year,35
need,get,34
get,like,34
today,cervical_cancer,34
do,pap,34
cervical_cancer,find,34
up,pap_smear,34
get,more,34
you,4,34
HPV,cervical,34
prevent,cervical,34
HPV_vaccine,school,34
auction,treatment,34
out,I,34
know,Gardasil,34
I,shot,34
all,you,34
out,my,34
help,women,34
HPV,now,34
HPV,common,34
we,need,34
girl,likely,34
link,HPV,33
women,man,33
you,give,33
I,girl,33
Lady,you,33
risk,factor,33
not,I,33
you,smear,33
mother,she,33
Gardasil,not,33
you,auction,33
last,pap_smear,33
who,4,33
give,you,33
HPV,like,33
just,like,33
does,study,33
vaccinate,HPV,33
against,top,33
cervical_cancer,risk,33
get,they,33
you,risk,33
sex,after,32
chance,cervical_cancer,32
Gardasil,girl,32
cervical_cancer,when,32
want,you,32
cervical_cancer,story,32
cervical_cancer,auction,32
women,not,32
cervical_cancer,who,32
like,get,32
make,you,32
most,women,32
screening,women,32
later,HPV_vaccine,32
HPV_vaccine,young,32
you,women,32
cervical_cancer,news,32
HPV,HIV,32
girl,side_effect,32
get,vaccine,32
she,tonight,32
you,girl,32
HPV,who,32
pap,not,32
girl,I,32
cervical_cancer,man,32
why,I,31
school,girl,31
likely,report,31
Gardasil,you,31
HPV,among,31
get,now,31
4,HPV,31
test,HPV,31
pap,you,31
you,up,31
HPV,than,31
away,tonight,31
camcer,you,31
doctor,cervical_cancer,31
all,need,31
not,lead,31
cervical_cancer,later,31
health,care,31
video,HPV,31
after,screening,31
girl,need,31
cervical_cancer,free,31
pap_smear,like,31
auction,stage,31
HPV,disease,31
pap_smear,just,31
against,virus,31
you,your,31
cervical_cancer,than,31
HPV,vax,31
make,more,31
not,make,31
you,all,31
cervical_cancer,need,31
camcer,yearly,31
year,cervical_cancer,31
follow,4,31
my,just,31
you,herpes,31
my,Lady,31
cervical_cancer,pap_smear,31
pap_smear,crystal_castle,31
go,screening,30
HPV_shot,today,30
I,who,30
HPV,treatment,30
oral_cancer,HPV,30
you,camcer,30
does,lead,30
protection,against,30
talk,top,30
out,you,30
I,HPV_vaccine,30
cause,yearly,30
cervical_cancer,among,30
cervical,women,30
camcer,CDC,30
cause,CDC,30
who,stage,30
my,daughter,30
get,Gardasil,30
HPV,Infection,30
new,girl,30
yearly,CDC,30
tonight,after,30
young,man,30
last,I,30
more,get,30
I,wonder,30
my,Gardasil_shot,30
women,cervical,30
you,vaccine,30
learn,cervical_cancer,29
I,never,29
January,cervical_cancer,29
than,women,29
high,risk,29
you,still,29
risk,HPV_infection,29
screening,test,29
young,cervical_cancer,29
vaccination,against,29
after,Gardasil,29
know,get,29
why,do,29
HPV_vaccine,program,29
you,what,29
sex,you,29
who,need,29
HPV_vaccine,all,29
you,donate,29
likely,HPV_vaccine,29
HPV,which,29
reduce,cervical_cancer,29
cervical_cancer,year,29
I,he,29
I,do_not,29
you,think,29
get,than,29
throat,study,29
more,man,29
HPV,CDC,29
pap_smear,than,29
study,HPV,29
study,suggest,29
smear,you,28
just,HPV_shot,28
we,know,28
more,side_effect,28
cervical_cancer,cervical,28
HPV_vaccine,help,28
people,get,28
Lady,HPV,28
likely,side_effect,28
we,all,28
there,HPV,28
regular,pap,28
human_papillomavirus,common,28
boy,young,28
some,HPV_vaccine,28
I,doctor,28
cervical_cancer,out,28
HPV_vaccine,Gardasil,28
pap_smear,do,28
HIV,cervical_cancer,28
yearly,pap_smear,28
women,need,28
stage,auction,28
want,know,28
HPV,do,28
I,think,28
treat,cervical_cancer,28
girl,pap_smear,28
no,cervical_cancer,28
hope,you,28
among,girl,28
they,know,28
know,not,28
no,you,28
know,pap_smear,28
young,HPV_vaccine,28
HPV_infection,young,28
HPV_vaccine,like,28
news,HPV_vaccine,28
who,not,28
warts,treatment,28
more,girl,28
out,get,28
doctor,I,28
HPV,yearly,28
mother,cervical_cancer,27
pap,women,27
breast,screening,27
my,not,27
boy,free,27
no,get,27
vaccine,not,27
cervical_cancer,some,27
not,my,27
time,you,27
who,HPV_vaccine,27
women,insurance,27
I,Lady,27
cervical_cancer,go,27
HPV_shot,like,27
please,we,27
cervical_cancer,just,27
donate,auction,27
some,HPV,27
read,story,27
time,pap_smear,27
does,HPV,27
genital,HPV,27
between,HPV,27
common,sexually_transmit,27
women,HIV,27
report,side_effect,27
Gardasil,vaccine,27
cervical_cancer,woman,27
most,sexually_transmit,27
fuck,you,27
know,I,27
boy,against,27
HPV,some,27
today,my,27
HPV_vaccine,risk,27
report,HPV_vaccine,27
than,pap_smear,27
HPV,how,27
HPV_vaccine,health,27
you,help,27
cervical_cancer,only,27
up,HPV,27
HPV_vaccine,encourage,27
all,three,27
cervical_cancer,national,27
after,my,27
sex,cervical_cancer,27
without,health,27
I,what,27
women,without,27
HPV,older_woman,27
HPV_infection,women,27
HPV_vaccine,man,27
cervical_cancer,xx,27
last,you,27
I,mean,27
new,pap_smear,27
cervical_cancer,virus,27
when,cervical_cancer,26
want,HPV_vaccine,26
cervical_cancer,make,26
man,cervical_cancer,26
HPV_vaccine,benefit,26
Lady,I,26
read,my,26
get,up,26
feel,like,26
detect,cervical_cancer,26
girl,Gardasil,26
HPV,go,26
new_study,HPV_vaccine,26
I,after,26
during,pap_smear,26
now,cervical_cancer,26
follow,auction,26
you,they,26
not,more,26
no,not,26
HPV,health,26
yo,doctor,26
free,breast,26
stop,cervical_cancer,26
way,cervical_cancer,26
sexual,girl,26
cervical_cancer,early_detection,26
yo,she,26
cervical_cancer,support,26
HPV,out,26
pap,I,26
why,get,26
without,insurance,26
cervical_cancer,there,26
safe,study,26
warts,cervical_cancer,26
we,you,26
breast_cancer,cervical_cancer,26
women,HPV_vaccine,26
they,do,26
warts,genital,26
DRE,DRE,25
no,no,25
new,vaccine,25
story,cervical_cancer,25
pap_smear,DRE,25
condom,HPV,25
bitch,get,25
not,new,25
you,please,25
HPV,boy,25
stupid,DRE,25
vaccine,deal,25
young,study,25
deal,cervical_cancer,25
cancer,HPV,25
new,Infection,25
cervical_cancer,many,25
each,year,25
last,cervical_cancer,25
test,camcer,25
my,mother,25
cervical_cancer,thank_you,25
against,human_papilloma,25
get,some,25
bitch,pap_smear,25
they,pap_smear,25
test,women,25
USB,flash,25
cervical_cancer,common,25
still,HPV,25
stage,please,25
like,bitch,25
you,do_not,25
pap,my,25
cervical_cancer,cause,25
cervical_cancer,check_out,25
know,HPV_vaccine,25
hate,pap,25
does,girl,25
more,common,25
vaccinate,girl,25
more,pap_smear,25
cervical_cancer,here,25
I,Gardasil,25
do,smear,25
increase,sexual,25
do,need,25
cervical_cancer,insurance,25
cervical_cancer,rates,25
right,now,25
why,you,25
sex,get,25
I,shit,25
help,US,25
cervical_cancer,June,25
pap_smear,now,25
now,get,25
pap,cervical_cancer,25
cervical_cancer,survivor,25
like,like,24
HPV,sexually_transmit,24
mother,doctor,24
pap_smear,they,24
need,HPV_vaccine,24
later,rates,24
auction,cervical_cancer,24
human_papillomavirus,most,24
still,get,24
most,cervical_cancer,24
later,still,24
cervical_cancer,cervix,24
get,no,24
he,HPV,24
women,risk,24
how,many,24
get,all,24
HPV,up,24
all,I,24
stupid,pap_smear,24
mother,dumb,24
man,not,24
new,pap,24
HPV,big,24
you,die,24
campaign,cervical_cancer,24
give,HPV,24
link,girl,24
immune,system,24
you,who,24
cervical_cancer,4,24
man,than,24
they,want,24
rates,still,24
cervical_cancer,without,24
please,my,24
girl,jab,24
breast,program,24
my,up,24
vaccine,women,24
bitch,you,24
now,you,24
test,age,24
my,when,24
HPV,link,24
last,year,24
cause,cancer,24
does,sex,24
not,pap,24
free,pap_smear,24
smear,I,24
camcer,camcer,23
pap_smear,pap_smear,23
vaccine,you,23
abnormal_pap_smear,smear,23
oral,more,23
free,against,23
after,I,23
you,Twitter,23
girl,than,23
cervical_cancer,Lady,23
common,women,23
stupid,doctor,23
when,she,23
cervical_cancer,check,23
find,cervical_cancer,23
mom,she,23
age,women,23
please,4,23
sexually,women,23
sex,HPV_vaccine,23
last,HPV_shot,23
cervical_cancer,like,23
I,remember,23
Lady,now,23
what,girl,23
stupid,she,23
some,cervical_cancer,23
sure,you,23
now,comment,23
HPV_vaccine,camcer,23
some,you,23
only,HPV,23
health,HPV,23
I,guess,23
shot,I,23
never,pap_smear,23
they,Gardasil,23
no,more,23
most,camcer,23
girl,boy,23
pap_smear,no,23
year,old,23
pussy,like,23
just,out,23
side_effect,after,22
we,do,22
like,cervical_cancer,22
do,we,22
early,cervical_cancer,22
human_papillomavirus,Infection,22
up,like,22
sex,who,22
I,jab,22
need,pap,22
HPV,know,22
you,free,22
cervical_cancer,preventable,22
my,story,22
new,study,22
HPV_vaccine,new_study,22
camcer,not,22
get,go,22
HPV,std,22
love,you,22
they,smear,22
HPV_vaccine,my,22
cervical_cancer,disease,22
vaccine,prevent,22
Information,cervical_cancer,22
protect,you,22
smear,not,22
health,women,22
just,HPV_vaccine,22
how,know,22
develop,cervical_cancer,22
I,only,22
my,out,22
girl,new,22
he,get,22
HPV_vaccine,news,22
HPV_vaccine,just,22
HPV,screening,22
study,link,22
why,HPV,22
Gardasil,I,22
women,free,22
HPV_shot,get,22
HPV_vaccine,Infection,22
need,my,22
some,point,22
girl,now,22
how,people,22
genital,genital,21
do,do,21
he,he,21
who,she,21
lead,cervical_cancer,21
do,they,21
what,get,21
cervical_cancer,deaths,21
they,pap,21
dead,cervical_cancer,21
up,I,21
young,more,21
take,care,21
cervical_cancer,US,21
do,like,21
please,who,21
symptoms,cervical_cancer,21
like,pap,21
common,Infection,21
girl,you,21
raise,cervical_cancer,21
only,cervical_cancer,21
HPV_cancer,women,21
women,no,21
HPV_test,cervical_cancer,21
HPV_vaccine,they,21
there,cervical_cancer,21
circumcision,risk,21
no,my,21
you,she,21
you,might,21
all,pap_smear,21
life,cervical_cancer,21
HPV,hepatitis,21
doctor,Gardasil,21
pap_smear,go,21
mother,DRE,21
flu,shot,21
get,he,21
HPV,help,21
does,make,21
HPV,over,21
not,camcer,21
HPV,there,21
you,now,21
brain,camcer,21
need,HPV,21
over,HPV,21
cervical,HPV,21
Effective,cervical_cancer,21
HPV,Information,21
cervical_cancer,doctor,21
want,Gardasil,21
share,HPV,21
than,HPV,21
HPV,hurt,21
how,we,21
cervical_cancer,which,21
HPV_cancer,man,21
hate,smear,21
vaccine,who,21
girl,like,21
world,cervical_cancer,21
cervical_cancer,diagnosis,21
HPV,without,21
do,girl,21
benefit,women,21
later,women,21
vaccine,treat,21
women,study,21
my,year,21
need,smear,21
up,you,21
smear,cervical_cancer,21
HPV_vaccine,young_woman,21
I,read,21
see,you,21
women,age,21
HPV_shot,hurt,21
cervical_cancer,page,21
time,get,21
read,HPV,20
they,I,20
I,year,20
increase,risk,20
I,time,20
man,cause,20
you,last,20
genital,cervical_cancer,20
free,women,20
we,auction,20
want,more,20
HPV_vaccine,Effective,20
shot,get,20
high,HPV,20
oral,man,20
regular,smear,20
last,time,20
Lady,pap,20
HPV,news,20
get,know,20
thank,god,20
HPV_vaccine,cause,20
cervical_cancer,tomorrow,20
girl,three,20
three,HPV,20
best,cervical_cancer,20
HPV_test,women,20
USB,drive,20
study,not,20
not,people,20
know,risk,20
get,doctor,20
friend,cervical_cancer,20
study,new,20
flash,drive,20
do,my,20
doctor,HPV_vaccine,20
HP,flash,20
HP,USB,20
help,get,20
they,cervical_cancer,20
man,year,20
what,does,20
cervical_cancer,stage,20
no,pap,20
over,cervical_cancer,20
not,Effective,20
last,night,20
know,more,20
cervical_cancer,HIV,20
HPV,due,20
Gardasil_vaccine,boy,20
HPV_vaccine,teen,20
HPV_vaccine,no,20
which,cervical_cancer,20
Gardasil,safe,20
want,HPV,20
women,you,20
health,HPV_vaccine,20
my,who,20
get,just,20
only,girl,20
new,women,20
you,how,20
after,vaccination,20
women,infect,20
