source,target,weight
smear,smear,7
stage,stage,5
treatment,treatment,9
cervical_cancer,cervical_cancer,288
women,women,19
doctor,doctor,17
you,you,220
learn,learn,1
cause,cause,5
HPV_vaccine,HPV_vaccine,46
test,test,20
cervical,cervical,4
free,free,13
vaccine,vaccine,21
HPV,HPV,72
risk,risk,7
HPV_test,HPV_test,5
which,which,2
circumcision,circumcision,6
carry,carry,1
she,she,52
study,study,10
my,my,71
Henrietta,Henrietta,1
good,good,3
approve,approve,1
no,no,25
jab,jab,5
girl,girl,12
vagina,vagina,5
camcer,camcer,28
another,another,2
get,get,71
birth,birth,3
control,control,4
we,we,20
genital,genital,28
do,do,8
go,go,3
like,like,20
vaccine,HIV,2
pap_smear,pap_smear,26
DRE,DRE,6
herpes,herpes,7
what,what,12
place,place,1
CDC,CDC,5
YouTube,YouTube,4
same,mom,1
detect,detect,1
cervical_cancer,probably,2
warts,warts,43
happen,preventable,4
awareness,awareness,4
more,than,267
Bill,Bill,2
due,due,1
head,head,1
love,die,2
thanks,thanks,1
since,actually,1
xx,xx,17
spread,spread,2
week,week,4
just,I,34
gross,gross,1
vaccination,vaccination,4
more,more,22
still,symptoms,1
time,time,2
when,more,2
child,child,1
sex,against,1
cancer,cancer,8
we,I,10
american,american,1
student,student,1
they,they,22
all,all,10
there,there,5
pray,you,1
stupid,stupid,2
Effective,Effective,2
Gardasil_vaccine,Gardasil_vaccine,1
you,book,5
Gardasil,Gardasil,16
health,health,22
HPV_DNA,HPV_DNA,4
great,yourself,1
FDA,FDA,8
now,how,4
radiation,radiation,1
year,now,3
never,never,4
sex,sex,6
4,4,15
HP,HP,3
sick,sick,5
HPV,couple,1
need,need,1
more,when,8
who,who,22
right,shot,1
does,does,6
last,health,1
Gardasil,available,5
out,more,17
condom,condom,3
press,HPV,3
ever,ever,3
symptoms,warts,8
we,just,11
hold,January,1
you,week,5
cause,disease,4
get,major,1
get,clear,3
TV,PSA,1
than,more,9
currently,market,1
yesterday,cervical_cancer,5
damn,indian,1
stop,stop,2
between,well,1
yearly,deal,1
your,your,5
virus,please,2
well,when,2
out,human,1
know,someone,3
require,vaccine,3
know,know,7
cervical_cancer,mother,3
like,help,1
style,HPV,1
disease,cervical_cancer,9
study,clear,8
pregnancy,pregnancy,3
Info,test,1
mom,since,1
doctor,talk,1
side_effect,who,7
screen,screen,1
apparently,doctor,1
end,post,1
good,news,10
make,get,19
they,I,25
women,over,29
same,link,1
end,cervical_cancer,83
phone,phone,1
disease,cause,2
now,just,4
everyone,know,5
human,genital,2
FDA,Prevention,14
without,night,1
Saturday,29,1
I,who,19
catch,cause,1
now,year,2
you,tweet,8
topic,long,1
advice,MSNBC,1
response,deaths,1
cervical_cancer,sad,4
January,care,1
women,than,15
oral_cancer,oral_cancer,4
women,Prevention,4
UK,high,1
new,Twitter,1
Gardasil,female,2
Texas,book,1
Twitter,you,5
old,know,2
stupid,look,1
virus,cervical_cancer,47
study,deaths,4
getting,you,3
he,he,50
I,HPV_shot,33
