source,target,weight
you,Thursday,5
I_think,which,5
research,prevent,5
research,link,11
report,report,4
away,man,1
women,than,180
Africa,advocate,1
stage,stage,74
we,I_think,5
off,off,11
up,big,3
because,get,17
god,life,2
Facebook,Facebook,2
article,american,1
commercial,commercial,7
chance,up,9
new,cancer,19
cervical_cancer,please,619
require,cover,1
after,health,24
feel,Gardasil,7
Gardasil,great,15
might,girl,8
man,cervical_cancer,177
high,high,10
teen,death,1
pelvic,pelvic,4
must,mother,1
glad,get,27
some,genital,27
go,think,6
high,you,13
UK,victim,1
benefit,risk,26
cervical_cancer,real,57
most,preventable,26
radiation_therapy,radiation_therapy,3
women,never,36
sex,sex,32
out,when,28
woman,does,8
anyone,jag,1
treatment,jab,3
US,he,6
national,national,5
head,neck,433
HPV_shot,against,17
after,FDA,7
month,month,6
there,check,6
get,do_not,31
get,clear,13
HPV,teen_girl,81
sore,TV,1
blog,blog,6
visit,something,1
cervical_cancer,release,6
my_arm,year,3
HIV,HPV_vaccine,21
issues,issues,2
deadly,deadly,4
enjoy,watch,1
video,video,6
probably,up,2
pap,screening,73
small,you,5
time,time,20
all,HPV,364
cervical_health,cervical_health,2
good,news,82
support,support,7
my,vaccine,117
CDC,CDC,23
campaign,support,5
January,January,16
vax,story,4
cervical_cancer,people,135
worse,though,3
stage,get,20
head,Gardasil,8
warning,swine,1
she,against,15
look,man,2
awareness,awareness,22
HIV,HIV,11
prove,american,1
new,jab,7
walk,walk,6
symptoms,symptoms,61
flu,food,1
warts,genital,123
despite,vaccine,30
give,give,20
there,protect,9
nothing,nothing,2
girl,your,9
Merck,Merck,18
health,HP,5
infect,infect,26
out,genital,9
get,message,6
USB,drive,120
swine,safety,1
full,drug,1
replace,replace,11
start,cervical_cancer,51
scared,you,13
HPV_vaccine,half,56
change,change,2
study,get,50
pap,more,88
high,offer,2
practice,practice,1
AIDS,herpes,84
local,local,1
away,die,1
take,off,27
why,after,15
team,half,1
scared,scared,2
my_arm,now,22
HPV_vaccine,Gardasil_vaccine,23
story,might,4
american,report,3
statistics,statistics,1
girl,reaction,17
son,son,1
cervical_cancer,pledge,14
week,week,67
Thursday,you,3
link,young,31
ever,ever,6
preventable,preventable,1
I,my_arm,89
now,year,15
discuss,girl,3
age,you,49
disease,disease,11
jab,new,12
common,when,10
vaccine,HPV,641
event,event,3
god,god,2
I_think,there,3
