id,modularity_class
week,41
Perry,0
Screening,41
year,41
sex,35
HIV,4
test,41
Vaccinations,35
study,35
cervical,41
risk,35
Gardasil,35
shot,35
cause,4
call,1
increase,35
pap,2
news,41
boy,35
genital,3
protect,4
HPV,4
health,41
symptom,41
life,5
age,41
talk,41
question,6
shit,7
video,8
younger,35
people,4
teen,35
Republican,9
hope,10
government,11
Love,12
rate,41
support,41
fight,41
girl,35
man,13
thing,14
doctor,4
research,41
work,15
common,4
today,41
friend,16
woman,41
information,41
show,17
medical,18
Vaccine,41
bad,19
prevention,41
screen,41
care,20
make,35
start,21
Bachmann,22
mandate,4
CDC,41
good,23
prevent,35
find,41
time,24
day,25
check,41
take,26
infection,4
can,4
Merck,27
safety,35
STD,28
link,35
early,41
female,29
smear,41
read,31
important,30
story,31
give,4
treatment,41
warts,4
breast,41
male,32
think,33
get,4
lady,4
back,34
free,4
oral,4
have,4
disease,4
tell,36
mom,41
school,35
stop,37
report,35
pap_smear,4
your,38
virus,4
Great,39
awareness,41
lead,40
sexually,4
die,41
cervical_cancer,41
sexual,35
help,41
cancer,4
HPV_vaccine,35
HPV_vaccination,41
