Word,POS,Frequency,,,,,Frequency
benefit,NN,48,,187,98,33,366
Katie,Katie,,339,,26,,365
control,NN,38,,208,82,29,357
provide,VBP,39,,229,89,,357
real,JJ,26,,165,144,22,357
vinegar,NN,122,,,235,,357
Couric,Couric,,332,,,23,355
cervix,NN,52,,140,122,40,354
under,IN,40,124,190,,,354
plan,NN,26,149,71,103,,349
IUD,,,131,215,,,346
off,IN,83,,263,,,346
clean,JJ,38,,,223,81,342
GOP,NNP,309,,,33,,342
attack,NN,20,156,165,,,341
protection,NN,31,,130,143,35,339
cure,NN,92,,145,80,21,338
strain,NN,42,,123,146,26,337
treat,NN,46,,128,141,22,337
Bill,NNP,17,,285,33,,335
pass,VB,27,,230,76,,333
pay,NN,20,,162,122,28,332
truth,NN,53,,134,144,,331
home,NN,79,,107,116,27,329
Fox,NNP,20,129,179,,,328
preventable,JJ,34,,109,126,58,327
night,NN,25,,138,163,,326
anyone,NN,54,101,170,,,325
sister,NN,28,,94,152,45,319
important,JJ,46,,52,158,61,317
Texas,NNP,14,144,159,,,317
cost,NN,56,,130,97,33,316
DNA,NNP,26,,153,46,89,314
state,NN,70,,200,44,,314
dlvr,NN,30,141,141,,,312
fund,NN,22,,201,88,,311
mammogram,NN,29,,158,101,23,311
family,NN,46,,117,81,65,309
million,CD,28,110,,171,,309
American,NNP,27,,179,74,23,303
AIDS,NNP,62,,136,103,,301
evidence,NN,14,,144,98,43,299
might,MD,52,,247,,,299
launch,NN,23,,120,131,24,298
long,RB,36,,185,76,,297
often,RB,38,111,148,,,297
Republican,NNP,,104,191,,,295
TRUE,JJ,32,,127,94,41,294
miss,VBP,26,,137,128,,291
blood,NN,24,,127,111,28,290
put,VBD,32,,116,121,20,289
safety,NN,13,,122,130,24,289
morning,NN,38,,128,95,24,285
number,NN,28,,107,127,23,285
try,VBP,54,,231,,,285
visit,NN,38,,88,123,36,285
Update,NNP,92,,155,35,,282
dangerous,JJ,109,,,171,,280
concern,NN,41,,133,83,22,279
CNN,NNP,278,,,,,278
reason,NN,16,,129,100,32,277
happy,JJ,28,,116,102,28,274
promote,VB,25,,80,121,48,274
ad,NN,129,,72,72,,273
matter,NN,91,,,181,,272
abnormal,JJ,40,,149,50,31,270
rare,JJ,54,,98,118,,270
YouTube,NNP,37,,165,67,,269
warn,VBP,12,,34,145,77,268
answer,NN,31,,113,88,35,267
change,NN,37,,117,83,30,267
end,NN,27,,133,81,26,267
money,NN,51,,152,64,,267
Yvette,NNP,267,,,,,267
part,NN,59,,104,81,22,266
body,NN,22,,117,88,38,265
clear,JJ,18,,,200,47,265
forget,VB,23,,81,124,37,265
ovarian,NN,47,,85,103,28,263
drop,NN,14,,59,189,,262
older,JJR,60,,112,32,58,262
Wilson,NNP,262,,,,,262
keep,VB,50,,210,,,260
guideline,NN,57,,,202,,259
healthy,JJ,37,,87,99,36,259
leave,NN,45,,121,92,,258
add,VB,27,,122,50,58,257
York,NNP,77,,116,64,,257
something,NN,37,,219,,,256
tie,NN,178,,,78,,256
result,NN,64,,,161,30,255
2012,,,,192,62,,254
flu,NN,38,,114,102,,254
God,NNP,34,,135,84,,253
mouth,NN,43,,101,84,25,253
point,NN,19,,121,113,,253
needle,NN,61,,137,54,,252
decision,NN,15,101,135,,,251
survival,NN,78,,84,50,38,250
happen,VB,34,,131,84,,249
Overview,NNP,136,,,113,,249
everyone,NN,63,,185,,,248
Japan,Japan,,224,,,23,247
Daily,NNP,25,,119,71,30,245
date,NN,52,,75,80,38,245
insurance,NN,37,,164,43,,244
mean,VB,55,,189,,,244
Data,NNP,38,,73,107,23,241
sure,JJ,53,,187,,,240
another,DT,65,,173,,,238
key,JJ,101,,,137,,238
routine,JJ,13,,185,40,,238
ever,RB,54,,182,,,236
Africa,NNP,15,,98,88,32,233
recommendation,NN,16,,139,78,,233
yes,RB,52,,181,,,233
vagina,NN,47,,87,98,,232
Twitter,NNP,14,,113,83,21,231
MT,NNP,106,,,104,20,230
trial,NN,73,,78,51,28,230
urge,NN,26,,119,61,23,229
damn,NN,11,,44,171,,226
Trust,NNP,15,,105,79,26,225
event,NN,50,,93,81,,224
FIGO,NNP,117,,,107,,224
improve,VB,55,,56,51,58,220
someone,NN,56,,163,,,219
survivor,NN,53,,86,51,29,219
tonight,NN,22,,154,43,,219
mandatory,JJ,,105,113,,,218
stupid,JJ,25,,133,60,,218
price,NN,22,,33,162,,217
three,CD,53,,164,,,217
discuss,VB,19,,86,83,27,215
chance,NN,36,,145,0,33,214
womenshealth,NN,17,,76,121,,214
grow,VB,17,,91,105,,213
ass,NN,19,,112,81,,212
hospital,NN,33,,106,47,26,212
million,CD,178,,,,33,211
speak,VBP,29,,86,72,23,210
yearly,JJ,124,,,60,25,209
Crystal,NNP,84,,83,41,,208
positive,JJ,41,,91,56,20,208
same,JJ,65,,143,,,208
White,NNP,18,,94,96,,208
difference,NN,18,,42,147,,207
away,RB,29,,177,,,206
catch,NN,26,,117,62,,205
encourage,VBP,18,,117,37,33,205
nigga,NN,30,,104,71,,205
smoke,NN,79,,,126,,205
clinic,NN,32,,86,86,,204
adult,NN,42,,79,82,,203
ya,PRP,39,,98,66,,203
cover,NN,28,,74,70,30,202
Statement,NNP,47,,154,,,201
2013,,,,12,166,21,199
down,RB,26,,173,,,199
where,WRB,55,,143,,,198
yesterday,NN,25,,66,41,66,198
service,NN,16,,113,45,23,197
ok,JJ,34,,162,,,196
remember,VBP,26,,82,88,,196
sad,JJ,23,,62,46,65,196
factor,NN,34,,63,73,25,195
fall,fall,,195,,,,195
nearly,RB,37,,158,,,195
Australia,NNP,52,,,112,30,194
break,NN,19,,84,67,24,194
STI,NNP,25,,71,98,,194
pain,NN,35,,92,66,,193
simple,JJ,37,,,113,43,193
scientist,NN,31,,81,80,,192
2011,,,,191,,,191
become,VBN,25,,166,,,191
commercial,JJ,158,,33,,,191
ovary,ovary,,191,,,,191
castle,NN,81,,73,36,,190
person,NN,21,,106,62,,189
victim,NN,15,,77,97,,189
hysterectomy,NN,37,,70,81,,188
open,JJ,45,,,121,22,188
turn,VB,133,,,54,,187
2010,CD,138,,48,,,186
baby,NN,17,,111,58,,186
relate,VBP,17,,79,90,,186
carry,VBP,23,,111,51,,185
impact,NN,11,,57,96,21,185
medicine,NN,31,,116,38,,185
since,IN,44,,141,,,185
nurse,NN,33,,71,60,20,184
Rwanda,NNP,127,,,56,,183
sick,JJ,31,,113,39,,183
Drive,NNP,137,,45,,,182
run,VBP,20,,88,74,,182
adverse,JJ,16,,73,92,,181
explain,VBP,12,,72,74,21,179
system,NN,35,,50,67,27,179
coverage,NN,11,,59,108,,178
son,NN,19,,80,58,20,177
Media,NNP,18,,82,76,,176
must,MD,30,,146,,,176
Sophie,Sophie,,176,,,,176
abortion,NN,,,127,46,,173
deal,NN,15,,126,32,,173
Giant,giant,,104,,,69,173
Moesha,NNP,173,,,,,173
immunization,NN,13,,69,90,,172
release,NN,26,,79,46,21,172
remind,VB,47,,90,35,,172
reveal,VB,79,,,68,25,172
access,NN,11,,72,88,,171
controversy,NN,11,,112,48,,171
FALSE,JJ,38,,,,133,171
begin,VB,24,,70,51,25,170
walk,NN,28,,140,,,168
write,VB,35,,70,63,,168
dead,JJ,23,,113,31,,167
pregnancy,NN,39,,94,34,,167
sound,NN,20,,41,106,,167
face,NN,24,,61,60,21,166
scam,scam,,116,,,50,166
listen,VBP,22,,90,53,,165
actually,RB,42,,121,,,163
behind,IN,14,,114,,35,163
both,DT,32,,131,,,163
Catholic,NNP,125,,,37,,162
hit,VBD,88,,,73,,161
immune,JJ,13,,52,66,30,161
believe,VBP,30,,130,,,160
Foundation,NNP,17,,51,66,26,160
law,NN,11,,149,,,160
least,JJS,36,,124,,,160
fear,NN,11,,72,76,,159
hell,NN,32,,76,51,,159
reaction,NN,19,,74,66,,159
appointment,NN,13,,64,58,23,158
recent,JJ,16,,74,68,,158
student,NN,21,,91,46,,158
bring,VB,17,,67,73,,157
clinical,JJ,38,,55,64,,157
surgery,NN,66,,54,37,,157
interesting,JJ,16,,96,44,,156
scare,NN,55,,63,38,,156
Flash,NNP,121,,34,,,155
idea,NN,19,,87,49,,155
natural,JJ,47,,73,35,,155
YellowUmbOrg,NNP,17,,138,,,155
single,JJ,11,,35,108,,154
Canada,NNP,42,,65,46,,153
hour,NN,23,,78,52,,153
market,NN,12,,90,51,,153
Journal,NNP,11,,92,49,,152
South,NNP,11,,47,93,,151
topic,NN,13,,81,57,,151
