source,target,weight
wife,stage,1
part,awareness,1
spot,cancer,1
back,age,6
support,mandatory,2
dat,it,4
let,look,2
Gardasil,totally,4
smear,british,1
ready,week,2
Pussy,like,38
promiscuity,gynecologist,1
college,contract,1
clear,have,12
paper,safety,1
information,woman,5
vaccination,video,1
shoot,expensive,1
talk,drink,1
preventable,group,1
record,vaccination,2
increase,study,21
conversation,public,1
girl,safety,1
decrease,transmission,1
min,stop,1
find,free,2
tomorrow,support,1
breast,check,2
patient,clinical,1
effect,woman,3
safe,government,1
herpes,disease,3
low,put,1
birth,awkward,1
effective,question,1
remember,small,1
ask,tell,10
smear,public,1
guideline,find,1
health,kid,1
detect,recommend,1
needle,prevent,1
get,spread,4
dental,patient,1
friend,support,2
change,dose,1
vaccination,hot,1
take,home,1
man,today,1
tobacco,smoke,2
researcher,cancer,8
provide,screen,3
health,daughter,1
vaccine,oppose,1
concern,today,1
year,finish,1
Cervarix,strain,1
body,person,1
huge,concern,1
important,child,1
boy,virus,3
big,woman,5
bit,fund,1
research,CDC,1
term,hair,1
symptom,intercourse,1
today,man,2
book,cervical,1
AIDS,free,1
tell,stage,1
man,dangerous,1
test,she,22
get,office,2
check,hoe,2
vaccine,injury,9
pass,pap,1
occur,month,1
trend,cervical,1
parent,health,1
develop,Merck,1
group,find,1
explain,brother,1
relationship,cause,1
reduce,rate,1
RIP,Andell,10
show,cervical,1
medicine,governor,1
smear,smear,13
science,phone,1
news,Michael,1
TMI,female,1
news,important,1
daughter,jab,4
low,girl,1
strain,HPV,16
blog,American,1
girl,annually,1
kiss,spread,1
rate,prevent,1
warts,fall,1
truth,information,1
want,conversation,1
doctor,perform,2
child,question,1
suggest,boy,2
tv,episode,1
status,diagnosis,1
Abbott,record,1
news,school,2
cancer,urge,1
friend,news,1
lead,throat,2
woman,infection,6
vaccination,protect,4
ignore,make,1
night,suffer,1
male,infection,2
note,old,1
state,college,1
HPV,mental,5
virgin,walk,1
clear,preventable,1
sister,claim,1
virgin,Gardasil,1
smear,Paul,1
urge,test,1
cancer,herpes,2
Gardasil,low,2
disease,today,2
HPV,forget,2
Romney,full,1
cost,effective,6
USA,global,1
control,recommend,1
night,event,1
cancer,Nigerian,1
UK,STI,1
UK,boy,1
Prevention,play,1
teenager,experience,2
vaccine,remind,1
common,risk,1
test,primary,2
month,topic,1
encourage,circumcision,1
run,remember,1
program,today,2
health,wart,1
show,read,1
neck,cancer,14
drink,like,2
lady,needle,2
word,HPV,2
treatment,advance,1
doctor,diagnose,1
kill,man,1
pap,exam,3
ad,pap,1
wart,case,1
mandate,HPV,7
hepatitis,cut,1
vax,recommend,1
drug,show,1
expect,gyn,1
walk,remember,1
get,treatment,4
behavior,service,1
lead,increase,13
result,suggest,1
girl,CDC,6
dangerous,current,1
strain,find,1
gift,today,1
open,access,1
year,effect,1
vax,policy,1
video,game,1
vaccine,million,3
message,let,1
hit,list,1
Forbes,Gardasil,3
ACA,visit,1
fact,mum,1
today,report,1
risk,benefit,4
health,pap,1
HPV,Cervarix,3
control,abortion,1
body,fight,3
virus,throat,1
expect,remain,1
family,day,2
behavior,teenager,2
cure,HPV,16
HPV,free,8
politics,Prevention,1
suggest,HPV,5
sign,free,1
preventable,find,1
I,finally,2
January,raise,1
activity,teenager,2
cure,back,1
Gardasil,human,2
low,infection,3
million,rise,1
country,pay,1
spend,make,1
woman,medical,4
think,change,1
half,STD,1
increase,detection,4
recommend,dose,1
can,make,15
smear,key,1
woman,HIV,26
data,promote,1
cell,anal,1
Gardasil,adverse,5
nation,status,1
woman,key,1
talk,government,1
vaccine,aware,1
condom,HPV,42
price,cost,1
ObamaCare,insurance,1
painful,lady,1
decline,death,1
smear,rare,1
read,comment,1
trial,Gardasil,2
infection,increase,3
trial,protection,1
real,world,1
virus,world,2
call,vaccinate,1
kind,head,2
female,follower,1
treatment,get,1
rate,reduce,1
effective,age,1
shoot,sexual,1
inform,correct,1
Cervarix,HPV,4
survivor,HIV,1
HIV,contract,1
wat,call,1
vaccination,world,1
patient,call,1
shoot,burn,1
cancer,Pussy,6
vaccination,violence,1
cancer,high,6
breast,blood,1
teenager,vaccination,16
address,breast,1
get,thought,1
vaccine,responsible,1
schedule,date,1
website,relate,1
Abbott,turn,1
risk,genital,1
place,get,3
wart,health,1
decision,get,2
life,woman,5
invasive,know,1
vaccine,tell,3
confuse,HPV,3
year,die,28
study,health,4
fight,run,1
change,partner,1
remember,Michele,1
find,HPV,16
dose,news,1
run,raise,1
country,free,1
sign,age,8
rate,country,1
start,study,1
wear,ready,1
dad,hope,1
schedule,get,4
treat,vinegar,1
STD,Prevention,1
support,HPV,5
school,prevent,1
agree,cervical,1
2012,estimate,1
health,parent,1
minute,room,1
Gardasil,warts,3
survivor,read,1
doctor,long,2
stuff,check,1
video,girlfriend,1
nasty,get,17
reduce,chance,8
school,kid,1
work,home,1
fall,think,1
annual,cost,1
study,lead,6
HPV,poor,5
take,hold,1
start,job,1
education,part,1
encourage,promiscuity,5
result,injection,1
lady,tomorrow,1
man,dear,1
share,world,1
help,special,3
infection,low,1
trial,news,1
vaccination,policy,2
drop,male,1
raise,trial,1
Merck,forget,1
clinic,low,1
take,look,3
transmit,woman,2
treat,indian,1
look,like,28
read,interesting,1
question,article,1
question,post,1
infection,drop,1
she,test,18
group,change,2
Prevention,reach,1
girl,medical,2
carry,baby,5
home,test,11
HPV,RIP,1
HPV,find,8
age,receive,1
God,live,1
message,people,1
give,guy,2
story,come,1
back,study,1
drop,pregnancy,1
cervical,DNA,1
long,think,1
have,answer,2
access,screen,5
rise,sex,1
plan,Gardasil,2
recommend,guideline,1
vax,free,1
learn,expert,1
disease,lung,2
screen,infection,1
episode,health,1
major,woman,2
save,promote,1
Gardasil,put,3
blog,website,1
fight,pap,1
injection,time,2
circumcision,it,3
HPV,stuff,7
medical,blood,1
die,daily,8
talk,work,1
know,cut,2
Gardasil,approve,1
information,doctor,1
year,January,2
group,guideline,1
science,lady,1
wart,discussion,1
hand,ask,1
cancer,concern,1
datum,show,1
truth,big,1
vaginal,warts,4
