source,target,weight
pap,smear,307
I,my,271
I,I,256
cervical_cancer,vaccine,248
I,get,227
genital,warts,213
my,cervical_cancer,211
get,pap_smear,210
I,cervical_cancer,210
cervical_cancer,screening,200
you,get,196
get,cervical_cancer,195
cervical_cancer,cervical_cancer,192
my,I,166
you,cervical_cancer,164
cervical_cancer,jab,162
cervical_cancer,I,161
you,you,158
I,HPV,157
get,HPV,157
get,my,155
HPV,cervical_cancer,146
you,know,140
I,pap_smear,140
cervical_cancer,camcer,139
you,HPV,130
cervical_cancer,women,130
cervical_cancer,treatment,130
more,than,129
you,pap_smear,129
cervical_cancer,you,128
flash,drive,118
fight,cervical_cancer,118
HP,drive,116
HP,flash,116
cervical_cancer,symptoms,116
my,pap_smear,114
cervical_cancer,Prevention,114
HPV,I,111
new,cervical_cancer,108
against,cervical_cancer,108
women,cervical_cancer,108
prevent,cervical_cancer,107
all,cervical_cancer,106
do,you,100
help,cervical_cancer,98
my,my,95
my,HPV,91
get,I,90
breast,cervical_cancer,89
I,you,87
HPV,you,87
I,just,86
pap_smear,I,86
just,cervical_cancer,83
Gardasil,ana_cancer,82
my,last,81
cervical_cancer,awareness,80
HPV,warts,80
FDA,Gardasil,80
January,cervical_cancer,80
my,get,77
more,cervical_cancer,77
I,like,77
what,you,76
just,my,75
what,cervical_cancer,75
human_papilloma,virus,75
my,HPV_shot,74
herpes,HPV,74
cervical_cancer,get,73
you,I,72
GB,USB,71
USB,flash,71
USB,drive,71
cervical_cancer,test,71
GB,flash,70
HP,USB,70
GB,drive,70
what,do,70
cervical_cancer,health,69
HP,GB,69
risk,cervical_cancer,68
just,get,67
HPV_vaccine,girl,66
HPV_vaccine,cervical_cancer,66
my,today,66
cervical_cancer,not,65
between,HPV,65
just,pap_smear,64
pap_smear,you,64
link,HPV,64
like,pap_smear,63
head,neck,63
camcer,cervical_cancer,63
girl,cervical_cancer,63
HPV,not,62
housing,sunshield,62
videotec,sunshield,62
videotec,housing,62
videotec,secirity,62
secirity,housing,62
secirity,sunshield,62
study,HPV,62
HPV,HPV,61
know,cervical_cancer,61
link,between,60
cervical_cancer,more,59
Gardasil,vaccine,58
screening,cervical_cancer,58
HPV,genital,58
symptoms,cervical_cancer,57
not,cervical_cancer,57
cervical_cancer,HPV,56
I,hate,56
cervical_cancer,vaccination,55
get,HPV_vaccine,55
cervical_cancer,all,55
vaccine,HPV,55
health,cervical_cancer,54
most,common,54
vaccine,cervical_cancer,54
girl,HPV_vaccine,54
HPV_vaccine,boy,54
my,jab,54
warts,HPV,53
who,cervical_cancer,53
virus,cervical_cancer,52
you,need,52
when,I,52
I,need,52
out,cervical_cancer,52
link,skin_cancer,52
get,you,52
cervical_cancer,India,51
I,not,51
what,HPV,51
get,HPV_shot,50
national,cervical_cancer,50
stage,cervical_cancer,50
doctor,pap_smear,50
against,HPV,49
HPV,get,49
how,you,49
she,pap_smear,49
cervical_cancer,today,49
some,cervical_cancer,49
Kathy_Griffin,pap_smear,49
get,get,48
verson,housing,48
videotec,verson,48
verson,sunshield,48
secirity,verson,48
cervical_cancer,girl,48
FDA,ana_cancer,48
women,HPV,47
warts,warts,46
cervical_cancer,stage,46
I,HPV_shot,46
4,USB,46
FDA,Prevention,46
public,pap_smear,46
4,GB,46
I,today,45
get,today,45
I,pap,45
when,you,45
HP,4,45
how,cervical_cancer,45
she,cervical_cancer,45
4,flash,45
4,drive,45
suggest,between,45
suggest,link,45
cervical,cancer,45
she,get,45
like,I,45
new,HPV,45
I,last,45
cervical_cancer,cause,44
man,HPV,44
suggest,HPV,44
cause,cervical_cancer,44
cervical_cancer,do,44
HPV,vaccination,44
girl,get,44
HP,US,43
flash,ultimate,43
go,get,43
pap_smear,my,43
US,flash,43
free,cervical_cancer,43
HP,ultimate,43
US,drive,43
drive,ultimate,43
US,ultimate,43
women,HPV_vaccine,43
test,cervical_cancer,43
free,pap,42
last,I,42
4,cervical_cancer,42
women,who,42
what,know,42
do,I,41
vaccine,inaccurate,41
cervical_cancer,my,41
HPV,cause,41
cervical_cancer,inaccurate,41
today,I,41
genital,HPV,41
HPV_shot,today,41
treatment,cervical_cancer,41
my,she,41
cervical_cancer,virus,41
cervical_cancer,surgery,40
study,suggest,40
Gardasil,Prevention,40
Gardasil,approval,40
protect,cervical_cancer,39
HPV,virus,39
most,HPV,39
you,do,39
crystal_castle,pap_smear,39
I,some,38
now,I,38
last,cervical_cancer,38
we,cervical_cancer,38
need,pap_smear,38
free,smear,38
girl,HPV,38
I,love,38
HIV,HPV,38
cervical_cancer,commercial,38
study,between,38
study,link,38
my,like,38
cervical_cancer,she,38
HPV,my,37
just,I,37
HPV_vaccine,genital,37
what,I,37
cervical_cancer,who,37
know,you,37
does,cervical_cancer,37
HPV,man,37
do,pap_smear,37
get,vaccine,37
not,HPV,37
like,you,37
infect,HPV,37
Gardasil,approve,37
I,want,37
support,cervical_cancer,37
new_blog,cervical_cancer,37
HPV_shot,I,37
stage,stage,36
early,cervical_cancer,36
all,HPV,36
I,smear,36
HPV,women,36
you,like,36
my,doctor,36
I,now,36
you,not,36
cervical_cancer,new,36
get,last,36
do,know,36
girl,who,36
out,HPV,36
my,just,36
HPV,oral_cancer,35
cervical_cancer,now,35
HPV,what,35
HPV,most,35
over,cervical_cancer,35
pap_smear,no,35
I,out,35
not,just,35
women,get,35
today,get,35
Gardasil,anal,35
know,HPV,34
prevent,ana_cancer,34
woman,cervical_cancer,34
vaccine,prevent,34
I,do_not,34
help,fight,33
go,pap_smear,33
HIV,herpes,33
HPV_vaccine,prevent,33
how,HPV,33
last,HPV_shot,32
cervical_cancer,most,32
